Variables,Dim 1,Dim 2,Dim 3,Dim 4,Dim 5
anti_bacterial_agents_0,2.6935999256555796,2.9937185018544114e-5,0.5643799171768794,0.8178513610374185,0.1711353494053545
bicarbonate_1,2.651989024901158,0.3272983907230114,6.939780087488426e-4,0.4038296031317611,0.11548236825015545
anti_ulcer_agents_1,2.5691879336904004,0.7058821597815748,0.7137327790747153,0.007422963870706855,0.0032985411633148064
anti_ulcer_agents_0,2.545563217058778,0.6993912893467991,0.7071697190372485,0.0073547067316658155,0.003268209750318502
neuromuscular_blocking_agents_1,2.3191722708378135,0.6706399490493522,0.043238993575641066,1.4023483975008617,0.26032681824226395
analgesics_opioid_1,2.0665750347983547,0.47293038681958816,0.7520829553273681,0.6658378253034521,1.0816922686383363
anti_bacterial_agents_1,1.6665076175551468,1.8521884562861856e-5,0.3491771076365358,0.5059977579502596,0.10588000122088244
analgesics_opioid_0,1.4425504164474592,0.33012395628975044,0.5249833962677286,0.4647809133490704,0.7550636228141981
anticholesteremic_agents_1,1.3633771091416202,4.998088637715098,0.055613716979890114,0.7052380344222868,0.5708523942147417
anticoagulants_0,1.3344698436839895,0.030630312515622767,0.25310704468749073,0.9912693642935644,2.031020952177813
antiemetics_1,1.1385700610157028,1.1424774257455206,0.6153078192240474,2.010062056007842,1.114489561523925
anti_arrhythmia_agents_1,0.719135940430123,2.5120306181999594,0.09819138183722069,0.6123003091429319,0.8740822265032625
anticholesteremic_agents_0,0.6044305183861161,2.2158192960536778,0.024655414527750358,0.31265552859387846,0.25307789476853365
antifibrinolytic_agents_1,0.5934544115566089,0.16899034903112342,0.025310152971281894,0.3956187931659421,0.0446578450991481
antifungal_agents_1,0.5418079161165599,0.332911392724007,0.005991900535074721,0.13387795860757531,0.016426400201096647
benzodiazepines_1,0.5108437965062556,0.16596675061476265,0.06457712409086265,3.0004120169818522,0.37877409479547025
anti_inflammatory_agents_non_steroidal_1,0.49718350867289,2.0472029212493705,1.034231132912662,3.0862574654670247,3.1725779109591845
anesthetics_local_1,0.43985636108288956,0.7170805929775186,1.2060594751362286,0.4839934591586711,2.438720936902517
antiemetics_0,0.4365124834564988,0.4380105146628206,0.23590076136385466,0.7706308201947021,0.4272803430762647
chelating_agents_1,0.4143966444777869,0.24628550983696712,0.062481491631988566,0.8294215256156673,0.0808785238553217
benzodiazepines_0,0.4127276602253078,0.1340900469476271,0.052174002136041946,2.4241324646596594,0.3060241642710816
antipsychotic_agents_1,0.3862015885555052,0.7241028564373968,0.05089785998762149,6.538578752439543,0.017702495143864315
anticoagulants_1,0.36003291970359674,0.008263896631780652,0.06828694460776832,0.26743924197949376,0.5479587319658596
female_1,0.3508530853279206,0.07609870561895886,13.971257010351795,0.1416489940302789,0.1194433375039825
male_0,0.3508530853279117,0.07609870561895857,13.971257010351817,0.14164899403027809,0.11944333750398338
female_0,0.3169244353181843,0.06873970991075233,12.620190398361844,0.1279510693328467,0.1078927729981033
male_1,0.31692443531817743,0.06873970991075017,12.620190398361538,0.12795106933284328,0.10789277299810239
antiparkinson_agents_1,0.23466389901255105,0.37599215126782853,0.08485892454441879,3.056325967970777,0.008593906287738996
antihypertensive_agents_1,0.1741318466092584,4.466784896786864,0.032996102663973965,0.42016459532774736,0.15027395324565615
bronchodilator_agents_1,0.16934954472834038,2.157174950891018,0.08013746582723752,0.28443452839742167,0.7395240458798903
antimetabolites_1,0.16327206174551354,1.3410092340765087,0.009594449406184886,0.02058971696485563,1.7099519456500283
antipsychotic_agents_0,0.1446723411096815,0.2712512287606755,0.019066499931870828,2.4493723580567193,0.006631410879288813
antihypertensive_agents_0,0.1298967404141644,3.332077443167611,0.02461402819691558,0.31342923441787585,0.11209952157437977
bicarbonate_0,0.09188492439920413,0.011340087611669518,2.404463829595195e-5,0.013991706679595057,0.004001181217747339
anti_arrhythmia_agents_0,0.09071025516478717,0.3168621195908899,0.012385648944356594,0.07723423925469952,0.11025484521562545
antiviral_agents_1,0.07221327520365953,0.004226874055399392,0.12011675922275038,0.41154919109596927,0.21740311740804258
bronchodilator_agents_0,0.07107128434500844,0.9053062088985219,0.033631461068480056,0.11936924470449227,0.3103576323692669
adrenergic_alpha_1_receptor_antagonists_1,0.06977041024625033,2.8886770051406305,6.609929454151732,0.00888807022077038,0.012035564140418238
acetaminophene_0,0.06653897016892127,0.5724442779003908,0.1905484987618936,0.034498295226603734,0.03554046348992896
antidepressive_agents_1,0.06070689266504007,1.1666569543039695,0.5522568784689622,5.211843857140765,0.5730023560359613
anti_anxiety_agents_1,0.04530298467330874,7.356120917151888e-4,0.03440348410404589,0.0339728927185684,0.0016739662086978056
alcohol_deterrents_1,0.04272962708806313,0.0011831624799102775,0.026604264403160632,0.790635516516647,0.10747328286497883
androgens_1,0.03905256709599481,0.010131105809300342,0.013595675189018476,0.19115102457714142,0.1866843416271055
anticonvulsants_1,0.03359789487407932,0.10217632288717055,8.011090158351006e-5,1.603848447257203,0.6610022538549408
adrenergic_beta_antagonists_1,0.0316256617121497,1.3449790136718753,0.6340760694625729,0.2543591957199168,5.950793556478508
x5_alpha_reductase_inhibitors_1,0.02379497418703675,2.052836085655608,4.861683277826284,8.047030155162078e-4,0.09143480904880175
anti_inflammatory_agents_non_steroidal_0,0.0209403403171493,0.08622394975177829,0.04355967467141179,0.1299867765238798,0.13362241502234748
neuromuscular_blocking_agents_0,0.01889895913371833,0.005465051971297934,3.5235501167576674e-4,0.011427751784057513,0.002121405969378079
antitubercular_agents_1,0.01535654469607864,0.4677761628389261,0.0755798999035551,0.8731285148231115,0.25991760774339273
anti_infective_agents_local_1,0.01223103711587564,0.16018792768120044,0.8518711372368638,2.7697749445575868,0.12191656717448389
antiparkinson_agents_0,0.011662084678199503,0.018685670547855755,0.004217231401601473,0.15189013901430495,4.270911003603673e-4
bone_density_conservation_agents_1,0.011452169268332256,2.287262695052746,0.03551855007662408,1.7239739004208006,1.5825380834941567
antineoplastic_agents_hormonal_1,0.0112386816703327,0.01596330431240967,0.2701245192545625,0.020300020265539075,0.21091936764400596
analgesics_1,0.011230985867624681,0.20795881730813742,0.8210276989952734,0.9455083438662474,1.5004698578532294
anesthetics_local_0,0.010398495533874695,0.01695225988126564,0.02851204432946224,0.011441925748432133,0.05765297723173879
antidepressive_agents_0,0.01033657902134473,0.1986469949220278,0.09403292795552569,0.887422062161811,0.09756526602774544
adrenergic_alpha_1_receptor_antagonists_0,0.008902995057463997,0.36860722201012847,0.8434545397224744,0.0011341547937961448,0.0015357881325012098
adrenergic_beta_3_receptor_agonists_1,0.008901198512243894,0.33999632858510254,0.5195348124771855,0.00734231302218905,0.06644567656327957
chelating_agents_0,0.00829769488353644,0.004931511975534109,0.0012511017170127804,0.016607969299724773,0.001619475742686071
antidiarrheals_1,0.0082242490969371,0.07097006317932252,0.062062141884063775,0.06791357044406424,0.09076619278762325
carbonic_anhydrase_inhibitors_1,0.00802018738129919,0.4611337738822178,1.3649855068694443,0.5216613203376116,10.30015211301792
antimetabolites_0,0.007493162254021188,0.06154390204698976,4.403249727476567e-4,9.449387012856492e-4,0.07847605547669216
antidepressive_agents_tricyclic_1,0.006270730268977521,0.11153676768008794,0.12055403349527569,0.15851431891048348,0.0013834634200690422
anti_asthmatic_agents_1,0.006219466245838236,0.7037454569247724,0.20450664887946318,0.090731343308930415,1.2697046648252137
calcium_regulating_hormones_and_agents_1,0.0057794738994007815,3.824566241833829,0.84498487061691,0.026191384467793868,1.4812400873644098
acetaminophene_1,0.005579613268232466,0.048002211037955676,0.01597840978353811,0.00289284828558481,0.0029802391161768784
antimalarials_1,0.004263688985742465,0.22146848246434228,0.028354497363243428,0.16540312825750292,0.013329491617473403
antifibrinolytic_agents_0,0.00414037961551113,0.0011790024351008225,1.7658246259033425e-4,0.0027601311151111596,3.1156636115683116e-4
adrenergic_uptake_inhibitors_1,0.0027427838294565117,0.1488864267436059,0.139707179868869,0.3933646093458954,0.009687272384345578
antifungal_agents_0,0.002514189865970121,0.0015448324488353043,2.7804642854176708e-5,6.212434274133431e-4,7.622459490068086e-5
calcium_regulating_hormones_and_agents_0,0.0024660358153951066,1.631898940090547,0.3605454390276476,0.011175566024973195,0.6320283074586155
adrenergic_beta_antagonists_0,0.0022701588852780345,0.09654552325862317,0.04551536142181837,0.01825845711850926,0.42716092360859553
anticonvulsants_0,0.002190268669527944,0.006660941098425612,5.222481899044593e-6,0.10455592583595512,0.04309116784048195
antitussive_agents_1,0.0018360875465375653,0.14051541157477906,0.03229701936176358,0.10862736519728997,0.029653963955434338
anti_inflammatory_agents_1,0.0014447838720391766,0.45455941281578716,0.5291250150701339,0.059534655865351685,1.4555517119043733
antiviral_agents_0,0.0013593087097159224,7.956468810163596e-5,0.0022610213500752828,0.007746808302982937,0.004092293974739582
x5_alpha_reductase_inhibitors_0,0.0013042312282785062,0.11251842126005474,0.26647472290156504,4.410674262881583e-5,0.0050116521403118924
analgesics_0,0.001049359790661928,0.01943049555656863,0.07671218399703321,0.08834295132083621,0.14019541601153934
bone_density_conservation_agents_0,7.917549123785619e-4,0.15813174188018972,0.0024556034620876674,0.1191883190414381,0.10941004034033652
anti_infective_agents_local_0,4.845428869434168e-4,0.006345980328306789,0.03374759607300849,0.10972697859591637,0.004829827991305981
antipruritics_1,4.4485639411432514e-4,0.170964397207126,0.05460297061733113,0.029339454448112163,1.154023807210934
antithyroid_agents_1,2.8166329896287586e-4,0.1762835157697612,0.12831089214283278,0.5683959546977779,0.4264037078231588
antidiarrheals_0,1.449632625782133e-4,0.001250941184124371,0.001093927295253767,0.0011970664590611102,0.0015998741384422443
carbonic_anhydrase_inhibitors_0,1.1269584142340406e-4,0.006479631483122589,0.019180124218305693,0.007330135648772028,0.1447328165763638
anti_anxiety_agents_0,1.0486802007710157e-4,1.7028057678595026e-6,7.96376946852884e-5,7.864095536705498e-5,3.874921779392947e-6
androgens_0,9.039946087036222e-5,2.3451633817825857e-5,3.147147034495202e-5,4.424792235582183e-4,4.321396796923856e-4
anti_asthmatic_agents_0,8.001652480026167e-5,0.009054035118330488,0.0026310796931861276,0.0011673038320447124,0.016335381652722077
adjuvants_anesthesia_1,6.089280426338221e-5,0.028950456368593506,0.0356110305040862,0.2055658655996032,1.61394643705972
antineoplastic_agents_hormonal_0,5.2151655082749774e-05,7.407565806222622e-5,0.0012534780475849689,9.419963000249932e-5,9.787441654014143e-4
adrenergic_beta_3_receptor_agonists_0,5.169104827087078e-5,0.001974426995267679,0.003017043045744403,4.263828700454507e-5,3.858633946764828e-4
alcohol_deterrents_0,4.9398412818561064e-5,1.3678178958502896e-6,3.0756375032554404e-5,9.140294988630854e-4,1.242465697860897e-4
anti_inflammatory_agents_0,3.766024311002534e-5,0.011848705073397163,0.013792358212728513,0.0015518512192390223,0.03794092140035053
antitubercular_agents_0,3.5547557166848856e-5,0.001082815191756775,1.749534719989697e-4,0.0020211308213497954,6.016611290356349e-4
antitussive_agents_0,2.5799825009895495e-5,0.00197445543196407,4.538222861137857e-4,0.0015263798388377966,4.1668333426839974e-4
antidepressive_agents_tricyclic_0,2.1798598849284614e-5,3.8772920398640596e-4,4.1907543509366453e-4,5.510347123191758e-4,4.809258702441115e-6
antimalarials_0,9.869650429959423e-6,5.126585242230139e-4,6.56354105630633e-5,3.828776117071804e-4,3.0855304670076245e-5
antipruritics_0,5.196920491990928e-6,0.0019972476309243906,6.378851707632789e-4,3.42750636076075e-4,0.013481586532837991
adrenergic_uptake_inhibitors_0,3.170848357754183e-6,1.7212303669781123e-4,1.615111905998524e-4,4.547567738103228e-4,1.1199158825827287e-5
adjuvants_anesthesia_0,3.536167494969738e-7,1.6812111712307477e-4,2.068004094313975e-4,0.0011937622857117044,0.009372511248894771
antithyroid_agents_0,3.2562231093976923e-07,2.0379597198816232e-4,1.483362914945981e-4,6.57105149939629e-4,4.929522633793711e-4
